-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow         0.09%      44.903ms         0.99%     511.059ms     257.201us      51.198ms         0.09%      76.952ms      38.728us          1987  
    autograd::engine::evaluate_function: RsqrtBackward0         0.01%       4.225ms         0.94%     485.852ms       1.117ms       0.000us         0.00%       1.963ms       4.514us           435  
                                         RsqrtBackward0         0.02%       7.944ms         0.93%     481.626ms       1.107ms       0.000us         0.00%       1.963ms       4.514us           435  
autograd::engine::evaluate_function: torch::autograd...         0.04%      22.244ms         0.81%     421.664ms     113.350us       0.000us         0.00%       28.297s       7.607ms          3720  
                        torch::autograd::AccumulateGrad         0.43%     221.307ms         0.77%     399.419ms     107.371us       0.000us         0.00%       28.297s       7.607ms          3720  
                                           aten::linear         0.04%      21.481ms         0.69%     359.271ms     109.701us       0.000us         0.00%        1.842s     562.300us          3275  
                                         aten::rms_norm         0.04%      18.702ms         0.62%     320.053ms     374.331us       0.000us         0.00%     372.654ms     435.853us           855  
                                       aten::layer_norm         0.01%       6.349ms         0.32%     167.284ms      90.180us       0.000us         0.00%     831.602ms     448.303us          1855  
                                            aten::addmm         0.20%     104.488ms         0.30%     155.082ms      75.650us        1.219s         2.15%        1.219s     594.604us          2050  
                                aten::native_layer_norm         0.14%      70.097ms         0.26%     132.765ms      84.028us     613.742ms         1.08%     685.683ms     433.976us          1580  
                                           aten::matmul         0.02%       9.240ms         0.24%     126.642ms     127.921us       0.000us         0.00%     214.305ms     216.470us           990  
                                        cudaMemcpyAsync         0.24%     124.018ms         0.24%     124.080ms      17.931us       0.000us         0.00%       0.736us       0.000us          6920  
    autograd::engine::evaluate_function: AddmmBackward0         0.02%      11.313ms         0.23%     121.349ms     192.617us       0.000us         0.00%     815.094ms       1.294ms           630  
                                           aten::conv2d         0.00%       1.273ms         0.23%     118.846ms     182.840us       0.000us         0.00%     450.069ms     692.414us           650  
                                      aten::convolution         0.01%       5.388ms         0.23%     118.085ms     179.461us       0.000us         0.00%     409.903ms     622.954us           658  
                                     aten::_convolution         0.01%       6.001ms         0.22%     112.698ms     171.273us       0.000us         0.00%     409.903ms     622.954us           658  
                     aten::scaled_dot_product_attention         0.02%       9.090ms         0.22%     112.245ms     193.527us       0.000us         0.00%        3.271s       5.639ms           580  
                                            aten::clone         0.02%       8.897ms         0.20%     104.772ms      34.363us       0.000us         0.00%     261.857ms      85.883us          3049  
                                            aten::empty         0.19%      96.864ms         0.20%     102.880ms       4.805us       0.000us         0.00%       0.000us       0.000us         21411  
                                aten::cudnn_convolution         0.12%      60.502ms         0.17%      89.998ms     140.621us     310.204ms         0.55%     313.107ms     489.229us           640  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 51.839s
Self CUDA time total: 56.778s
